pair_index,pair_id,contrast_id,target_variable,counterfactual_subtype,scientific_role,base_condition_id,source_condition_id,task_family,response_mapping,pair_split,base_variable,source_variable,variable_delta,source_base_semantically_matched,behavioral_validation_row,predicted_effect_magnitude,theory_disagreement,selection_score,selected_for_neural,evaluation_set
85,cf:outcome_history:mech-outcome_history-001165:continue_x,mech-outcome_history-001165,outcome_history,history_isolated,primary,mech-outcome_history-001165-minus-m0,mech-outcome_history-001165-plus-m0,solvability,continue_x,mech_pair_validation,-2.19,2.19,4.38,True,False,1.5157280863495735,0.0074978981192568295,1.5232259844688303,True,original_pairs
86,cf:outcome_history:mech-outcome_history-001165:continue_y,mech-outcome_history-001165,outcome_history,history_isolated,primary,mech-outcome_history-001165-minus-m1,mech-outcome_history-001165-plus-m1,solvability,continue_y,mech_pair_validation,-2.19,2.19,4.38,True,False,1.5157280863495735,0.007497898119256607,1.52322598446883,True,original_pairs
87,cf:outcome_history:mech-outcome_history-001190:continue_y,mech-outcome_history-001190,outcome_history,history_isolated,primary,mech-outcome_history-001190-minus-m1,mech-outcome_history-001190-plus-m1,bandit,continue_y,mech_pair_train,-2.19,2.19,4.38,True,False,1.3094168410481,0.00793407339237695,1.317350914440477,True,original_pairs
88,cf:outcome_history:prospective_history_bandit_continue_x_0:continue_x,prospective_history_bandit_continue_x_0,outcome_history,history_isolated,primary,prospective_history_bandit_continue_x_0_-1,prospective_history_bandit_continue_x_0_1,bandit,continue_x,mech_pair_test,-2.19,-1.21,0.98,True,False,,,,,fresh_signed_history
89,cf:outcome_history:prospective_history_bandit_continue_x_1:continue_x,prospective_history_bandit_continue_x_1,outcome_history,history_isolated,primary,prospective_history_bandit_continue_x_1_-1,prospective_history_bandit_continue_x_1_1,bandit,continue_x,mech_pair_test,-2.19,0.1899999999999999,2.38,True,False,,,,,fresh_signed_history
90,cf:outcome_history:prospective_history_bandit_continue_x_2:continue_x,prospective_history_bandit_continue_x_2,outcome_history,history_isolated,primary,prospective_history_bandit_continue_x_2_-1,prospective_history_bandit_continue_x_2_1,bandit,continue_x,mech_pair_test,2.19,1.21,-0.98,True,False,,,,,fresh_signed_history
91,cf:outcome_history:prospective_history_bandit_continue_x_3:continue_x,prospective_history_bandit_continue_x_3,outcome_history,history_isolated,primary,prospective_history_bandit_continue_x_3_-1,prospective_history_bandit_continue_x_3_1,bandit,continue_x,mech_pair_test,2.19,-0.1899999999999999,-2.38,True,False,,,,,fresh_signed_history
92,cf:outcome_history:prospective_history_bandit_continue_y_0:continue_y,prospective_history_bandit_continue_y_0,outcome_history,history_isolated,primary,prospective_history_bandit_continue_y_0_-1,prospective_history_bandit_continue_y_0_1,bandit,continue_y,mech_pair_test,-2.19,-1.21,0.98,True,False,,,,,fresh_signed_history
93,cf:outcome_history:prospective_history_bandit_continue_y_1:continue_y,prospective_history_bandit_continue_y_1,outcome_history,history_isolated,primary,prospective_history_bandit_continue_y_1_-1,prospective_history_bandit_continue_y_1_1,bandit,continue_y,mech_pair_test,-2.19,0.1899999999999999,2.38,True,False,,,,,fresh_signed_history
94,cf:outcome_history:prospective_history_bandit_continue_y_2:continue_y,prospective_history_bandit_continue_y_2,outcome_history,history_isolated,primary,prospective_history_bandit_continue_y_2_-1,prospective_history_bandit_continue_y_2_1,bandit,continue_y,mech_pair_test,2.19,1.21,-0.98,True,False,,,,,fresh_signed_history
95,cf:outcome_history:prospective_history_bandit_continue_y_3:continue_y,prospective_history_bandit_continue_y_3,outcome_history,history_isolated,primary,prospective_history_bandit_continue_y_3_-1,prospective_history_bandit_continue_y_3_1,bandit,continue_y,mech_pair_test,2.19,-0.1899999999999999,-2.38,True,False,,,,,fresh_signed_history
96,cf:outcome_history:prospective_history_debugging_continue_x_0:continue_x,prospective_history_debugging_continue_x_0,outcome_history,history_isolated,primary,prospective_history_debugging_continue_x_0_-1,prospective_history_debugging_continue_x_0_1,debugging,continue_x,mech_pair_test,-2.19,-1.21,0.98,True,False,,,,,fresh_signed_history
97,cf:outcome_history:prospective_history_debugging_continue_x_1:continue_x,prospective_history_debugging_continue_x_1,outcome_history,history_isolated,primary,prospective_history_debugging_continue_x_1_-1,prospective_history_debugging_continue_x_1_1,debugging,continue_x,mech_pair_test,-2.19,0.1899999999999999,2.38,True,False,,,,,fresh_signed_history
98,cf:outcome_history:prospective_history_debugging_continue_x_2:continue_x,prospective_history_debugging_continue_x_2,outcome_history,history_isolated,primary,prospective_history_debugging_continue_x_2_-1,prospective_history_debugging_continue_x_2_1,debugging,continue_x,mech_pair_test,2.19,1.21,-0.98,True,False,,,,,fresh_signed_history
99,cf:outcome_history:prospective_history_debugging_continue_x_3:continue_x,prospective_history_debugging_continue_x_3,outcome_history,history_isolated,primary,prospective_history_debugging_continue_x_3_-1,prospective_history_debugging_continue_x_3_1,debugging,continue_x,mech_pair_test,2.19,-0.1899999999999999,-2.38,True,False,,,,,fresh_signed_history
100,cf:outcome_history:prospective_history_debugging_continue_y_0:continue_y,prospective_history_debugging_continue_y_0,outcome_history,history_isolated,primary,prospective_history_debugging_continue_y_0_-1,prospective_history_debugging_continue_y_0_1,debugging,continue_y,mech_pair_test,-2.19,-1.21,0.98,True,False,,,,,fresh_signed_history
101,cf:outcome_history:prospective_history_debugging_continue_y_1:continue_y,prospective_history_debugging_continue_y_1,outcome_history,history_isolated,primary,prospective_history_debugging_continue_y_1_-1,prospective_history_debugging_continue_y_1_1,debugging,continue_y,mech_pair_test,-2.19,0.1899999999999999,2.38,True,False,,,,,fresh_signed_history
102,cf:outcome_history:prospective_history_debugging_continue_y_2:continue_y,prospective_history_debugging_continue_y_2,outcome_history,history_isolated,primary,prospective_history_debugging_continue_y_2_-1,prospective_history_debugging_continue_y_2_1,debugging,continue_y,mech_pair_test,2.19,1.21,-0.98,True,False,,,,,fresh_signed_history
103,cf:outcome_history:prospective_history_debugging_continue_y_3:continue_y,prospective_history_debugging_continue_y_3,outcome_history,history_isolated,primary,prospective_history_debugging_continue_y_3_-1,prospective_history_debugging_continue_y_3_1,debugging,continue_y,mech_pair_test,2.19,-0.1899999999999999,-2.38,True,False,,,,,fresh_signed_history
104,cf:outcome_history:prospective_history_effort_continue_x_0:continue_x,prospective_history_effort_continue_x_0,outcome_history,history_isolated,primary,prospective_history_effort_continue_x_0_-1,prospective_history_effort_continue_x_0_1,effort,continue_x,mech_task_holdout,-2.19,-1.21,0.98,True,False,,,,,fresh_signed_history
105,cf:outcome_history:prospective_history_effort_continue_x_1:continue_x,prospective_history_effort_continue_x_1,outcome_history,history_isolated,primary,prospective_history_effort_continue_x_1_-1,prospective_history_effort_continue_x_1_1,effort,continue_x,mech_task_holdout,-2.19,0.1899999999999999,2.38,True,False,,,,,fresh_signed_history
106,cf:outcome_history:prospective_history_effort_continue_x_2:continue_x,prospective_history_effort_continue_x_2,outcome_history,history_isolated,primary,prospective_history_effort_continue_x_2_-1,prospective_history_effort_continue_x_2_1,effort,continue_x,mech_task_holdout,2.19,1.21,-0.98,True,False,,,,,fresh_signed_history
107,cf:outcome_history:prospective_history_effort_continue_x_3:continue_x,prospective_history_effort_continue_x_3,outcome_history,history_isolated,primary,prospective_history_effort_continue_x_3_-1,prospective_history_effort_continue_x_3_1,effort,continue_x,mech_task_holdout,2.19,-0.1899999999999999,-2.38,True,False,,,,,fresh_signed_history
108,cf:outcome_history:prospective_history_effort_continue_y_0:continue_y,prospective_history_effort_continue_y_0,outcome_history,history_isolated,primary,prospective_history_effort_continue_y_0_-1,prospective_history_effort_continue_y_0_1,effort,continue_y,mech_task_holdout,-2.19,-1.21,0.98,True,False,,,,,fresh_signed_history
109,cf:outcome_history:prospective_history_effort_continue_y_1:continue_y,prospective_history_effort_continue_y_1,outcome_history,history_isolated,primary,prospective_history_effort_continue_y_1_-1,prospective_history_effort_continue_y_1_1,effort,continue_y,mech_task_holdout,-2.19,0.1899999999999999,2.38,True,False,,,,,fresh_signed_history
110,cf:outcome_history:prospective_history_effort_continue_y_2:continue_y,prospective_history_effort_continue_y_2,outcome_history,history_isolated,primary,prospective_history_effort_continue_y_2_-1,prospective_history_effort_continue_y_2_1,effort,continue_y,mech_task_holdout,2.19,1.21,-0.98,True,False,,,,,fresh_signed_history
111,cf:outcome_history:prospective_history_effort_continue_y_3:continue_y,prospective_history_effort_continue_y_3,outcome_history,history_isolated,primary,prospective_history_effort_continue_y_3_-1,prospective_history_effort_continue_y_3_1,effort,continue_y,mech_task_holdout,2.19,-0.1899999999999999,-2.38,True,False,,,,,fresh_signed_history
112,cf:outcome_history:prospective_history_foraging_continue_x_0:continue_x,prospective_history_foraging_continue_x_0,outcome_history,history_isolated,primary,prospective_history_foraging_continue_x_0_-1,prospective_history_foraging_continue_x_0_1,foraging,continue_x,mech_pair_test,-2.19,-1.21,0.98,True,False,,,,,fresh_signed_history
113,cf:outcome_history:prospective_history_foraging_continue_x_1:continue_x,prospective_history_foraging_continue_x_1,outcome_history,history_isolated,primary,prospective_history_foraging_continue_x_1_-1,prospective_history_foraging_continue_x_1_1,foraging,continue_x,mech_pair_test,-2.19,0.1899999999999999,2.38,True,False,,,,,fresh_signed_history
114,cf:outcome_history:prospective_history_foraging_continue_x_2:continue_x,prospective_history_foraging_continue_x_2,outcome_history,history_isolated,primary,prospective_history_foraging_continue_x_2_-1,prospective_history_foraging_continue_x_2_1,foraging,continue_x,mech_pair_test,2.19,1.21,-0.98,True,False,,,,,fresh_signed_history
115,cf:outcome_history:prospective_history_foraging_continue_x_3:continue_x,prospective_history_foraging_continue_x_3,outcome_history,history_isolated,primary,prospective_history_foraging_continue_x_3_-1,prospective_history_foraging_continue_x_3_1,foraging,continue_x,mech_pair_test,2.19,-0.1899999999999999,-2.38,True,False,,,,,fresh_signed_history
116,cf:outcome_history:prospective_history_foraging_continue_y_0:continue_y,prospective_history_foraging_continue_y_0,outcome_history,history_isolated,primary,prospective_history_foraging_continue_y_0_-1,prospective_history_foraging_continue_y_0_1,foraging,continue_y,mech_pair_test,-2.19,-1.21,0.98,True,False,,,,,fresh_signed_history
117,cf:outcome_history:prospective_history_foraging_continue_y_1:continue_y,prospective_history_foraging_continue_y_1,outcome_history,history_isolated,primary,prospective_history_foraging_continue_y_1_-1,prospective_history_foraging_continue_y_1_1,foraging,continue_y,mech_pair_test,-2.19,0.1899999999999999,2.38,True,False,,,,,fresh_signed_history
118,cf:outcome_history:prospective_history_foraging_continue_y_2:continue_y,prospective_history_foraging_continue_y_2,outcome_history,history_isolated,primary,prospective_history_foraging_continue_y_2_-1,prospective_history_foraging_continue_y_2_1,foraging,continue_y,mech_pair_test,2.19,1.21,-0.98,True,False,,,,,fresh_signed_history
119,cf:outcome_history:prospective_history_foraging_continue_y_3:continue_y,prospective_history_foraging_continue_y_3,outcome_history,history_isolated,primary,prospective_history_foraging_continue_y_3_-1,prospective_history_foraging_continue_y_3_1,foraging,continue_y,mech_pair_test,2.19,-0.1899999999999999,-2.38,True,False,,,,,fresh_signed_history
120,cf:outcome_history:prospective_history_information_sampling_continue_x_0:continue_x,prospective_history_information_sampling_continue_x_0,outcome_history,history_isolated,primary,prospective_history_information_sampling_continue_x_0_-1,prospective_history_information_sampling_continue_x_0_1,information_sampling,continue_x,mech_task_holdout,-2.19,-1.21,0.98,True,False,,,,,fresh_signed_history
121,cf:outcome_history:prospective_history_information_sampling_continue_x_1:continue_x,prospective_history_information_sampling_continue_x_1,outcome_history,history_isolated,primary,prospective_history_information_sampling_continue_x_1_-1,prospective_history_information_sampling_continue_x_1_1,information_sampling,continue_x,mech_task_holdout,-2.19,0.1899999999999999,2.38,True,False,,,,,fresh_signed_history
122,cf:outcome_history:prospective_history_information_sampling_continue_x_2:continue_x,prospective_history_information_sampling_continue_x_2,outcome_history,history_isolated,primary,prospective_history_information_sampling_continue_x_2_-1,prospective_history_information_sampling_continue_x_2_1,information_sampling,continue_x,mech_task_holdout,2.19,1.21,-0.98,True,False,,,,,fresh_signed_history
123,cf:outcome_history:prospective_history_information_sampling_continue_x_3:continue_x,prospective_history_information_sampling_continue_x_3,outcome_history,history_isolated,primary,prospective_history_information_sampling_continue_x_3_-1,prospective_history_information_sampling_continue_x_3_1,information_sampling,continue_x,mech_task_holdout,2.19,-0.1899999999999999,-2.38,True,False,,,,,fresh_signed_history
124,cf:outcome_history:prospective_history_information_sampling_continue_y_0:continue_y,prospective_history_information_sampling_continue_y_0,outcome_history,history_isolated,primary,prospective_history_information_sampling_continue_y_0_-1,prospective_history_information_sampling_continue_y_0_1,information_sampling,continue_y,mech_task_holdout,-2.19,-1.21,0.98,True,False,,,,,fresh_signed_history
125,cf:outcome_history:prospective_history_information_sampling_continue_y_1:continue_y,prospective_history_information_sampling_continue_y_1,outcome_history,history_isolated,primary,prospective_history_information_sampling_continue_y_1_-1,prospective_history_information_sampling_continue_y_1_1,information_sampling,continue_y,mech_task_holdout,-2.19,0.1899999999999999,2.38,True,False,,,,,fresh_signed_history
126,cf:outcome_history:prospective_history_information_sampling_continue_y_2:continue_y,prospective_history_information_sampling_continue_y_2,outcome_history,history_isolated,primary,prospective_history_information_sampling_continue_y_2_-1,prospective_history_information_sampling_continue_y_2_1,information_sampling,continue_y,mech_task_holdout,2.19,1.21,-0.98,True,False,,,,,fresh_signed_history
127,cf:outcome_history:prospective_history_information_sampling_continue_y_3:continue_y,prospective_history_information_sampling_continue_y_3,outcome_history,history_isolated,primary,prospective_history_information_sampling_continue_y_3_-1,prospective_history_information_sampling_continue_y_3_1,information_sampling,continue_y,mech_task_holdout,2.19,-0.1899999999999999,-2.38,True,False,,,,,fresh_signed_history
128,cf:outcome_history:prospective_history_solvability_continue_x_0:continue_x,prospective_history_solvability_continue_x_0,outcome_history,history_isolated,primary,prospective_history_solvability_continue_x_0_-1,prospective_history_solvability_continue_x_0_1,solvability,continue_x,mech_pair_test,-2.19,-1.21,0.98,True,False,,,,,fresh_signed_history
129,cf:outcome_history:prospective_history_solvability_continue_x_1:continue_x,prospective_history_solvability_continue_x_1,outcome_history,history_isolated,primary,prospective_history_solvability_continue_x_1_-1,prospective_history_solvability_continue_x_1_1,solvability,continue_x,mech_pair_test,-2.19,0.1899999999999999,2.38,True,False,,,,,fresh_signed_history
130,cf:outcome_history:prospective_history_solvability_continue_x_2:continue_x,prospective_history_solvability_continue_x_2,outcome_history,history_isolated,primary,prospective_history_solvability_continue_x_2_-1,prospective_history_solvability_continue_x_2_1,solvability,continue_x,mech_pair_test,2.19,1.21,-0.98,True,False,,,,,fresh_signed_history
131,cf:outcome_history:prospective_history_solvability_continue_x_3:continue_x,prospective_history_solvability_continue_x_3,outcome_history,history_isolated,primary,prospective_history_solvability_continue_x_3_-1,prospective_history_solvability_continue_x_3_1,solvability,continue_x,mech_pair_test,2.19,-0.1899999999999999,-2.38,True,False,,,,,fresh_signed_history
132,cf:outcome_history:prospective_history_solvability_continue_y_0:continue_y,prospective_history_solvability_continue_y_0,outcome_history,history_isolated,primary,prospective_history_solvability_continue_y_0_-1,prospective_history_solvability_continue_y_0_1,solvability,continue_y,mech_pair_test,-2.19,-1.21,0.98,True,False,,,,,fresh_signed_history
133,cf:outcome_history:prospective_history_solvability_continue_y_1:continue_y,prospective_history_solvability_continue_y_1,outcome_history,history_isolated,primary,prospective_history_solvability_continue_y_1_-1,prospective_history_solvability_continue_y_1_1,solvability,continue_y,mech_pair_test,-2.19,0.1899999999999999,2.38,True,False,,,,,fresh_signed_history
134,cf:outcome_history:prospective_history_solvability_continue_y_2:continue_y,prospective_history_solvability_continue_y_2,outcome_history,history_isolated,primary,prospective_history_solvability_continue_y_2_-1,prospective_history_solvability_continue_y_2_1,solvability,continue_y,mech_pair_test,2.19,1.21,-0.98,True,False,,,,,fresh_signed_history
135,cf:outcome_history:prospective_history_solvability_continue_y_3:continue_y,prospective_history_solvability_continue_y_3,outcome_history,history_isolated,primary,prospective_history_solvability_continue_y_3_-1,prospective_history_solvability_continue_y_3_1,solvability,continue_y,mech_pair_test,2.19,-0.1899999999999999,-2.38,True,False,,,,,fresh_signed_history
136,cf:outcome_history:prospective_history_waiting_continue_x_0:continue_x,prospective_history_waiting_continue_x_0,outcome_history,history_isolated,primary,prospective_history_waiting_continue_x_0_-1,prospective_history_waiting_continue_x_0_1,waiting,continue_x,mech_task_holdout,-2.19,-1.21,0.98,True,False,,,,,fresh_signed_history
137,cf:outcome_history:prospective_history_waiting_continue_x_1:continue_x,prospective_history_waiting_continue_x_1,outcome_history,history_isolated,primary,prospective_history_waiting_continue_x_1_-1,prospective_history_waiting_continue_x_1_1,waiting,continue_x,mech_task_holdout,-2.19,0.1899999999999999,2.38,True,False,,,,,fresh_signed_history
138,cf:outcome_history:prospective_history_waiting_continue_x_2:continue_x,prospective_history_waiting_continue_x_2,outcome_history,history_isolated,primary,prospective_history_waiting_continue_x_2_-1,prospective_history_waiting_continue_x_2_1,waiting,continue_x,mech_task_holdout,2.19,1.21,-0.98,True,False,,,,,fresh_signed_history
139,cf:outcome_history:prospective_history_waiting_continue_x_3:continue_x,prospective_history_waiting_continue_x_3,outcome_history,history_isolated,primary,prospective_history_waiting_continue_x_3_-1,prospective_history_waiting_continue_x_3_1,waiting,continue_x,mech_task_holdout,2.19,-0.1899999999999999,-2.38,True,False,,,,,fresh_signed_history
140,cf:outcome_history:prospective_history_waiting_continue_y_0:continue_y,prospective_history_waiting_continue_y_0,outcome_history,history_isolated,primary,prospective_history_waiting_continue_y_0_-1,prospective_history_waiting_continue_y_0_1,waiting,continue_y,mech_task_holdout,-2.19,-1.21,0.98,True,False,,,,,fresh_signed_history
141,cf:outcome_history:prospective_history_waiting_continue_y_1:continue_y,prospective_history_waiting_continue_y_1,outcome_history,history_isolated,primary,prospective_history_waiting_continue_y_1_-1,prospective_history_waiting_continue_y_1_1,waiting,continue_y,mech_task_holdout,-2.19,0.1899999999999999,2.38,True,False,,,,,fresh_signed_history
142,cf:outcome_history:prospective_history_waiting_continue_y_2:continue_y,prospective_history_waiting_continue_y_2,outcome_history,history_isolated,primary,prospective_history_waiting_continue_y_2_-1,prospective_history_waiting_continue_y_2_1,waiting,continue_y,mech_task_holdout,2.19,1.21,-0.98,True,False,,,,,fresh_signed_history
143,cf:outcome_history:prospective_history_waiting_continue_y_3:continue_y,prospective_history_waiting_continue_y_3,outcome_history,history_isolated,primary,prospective_history_waiting_continue_y_3_-1,prospective_history_waiting_continue_y_3_1,waiting,continue_y,mech_task_holdout,2.19,-0.1899999999999999,-2.38,True,False,,,,,fresh_signed_history
