pair_id,task_family,pair_split,background,pattern,wording,natural_effect,ablated_effect
cf:outcome_history:fresh_contexts:solvability:bg1:pattern1:outcome_history:continue_y,solvability,mech_pair_test,1,1,rephrased,-0.75,-0.25
cf:outcome_history:fresh_contexts:solvability:bg2:pattern0:outcome_history:continue_x,solvability,mech_pair_test,2,0,rephrased,0.375,0.125
cf:outcome_history:fresh_contexts:solvability:bg2:pattern0:outcome_history:continue_y,solvability,mech_pair_test,2,0,rephrased,0.375,0.25
cf:outcome_history:fresh_contexts:solvability:bg2:pattern1:outcome_history:continue_x,solvability,mech_pair_test,2,1,rephrased,0.125,-0.125
cf:outcome_history:fresh_contexts:solvability:bg2:pattern1:outcome_history:continue_y,solvability,mech_pair_test,2,1,rephrased,0.125,0.0
cf:outcome_history:fresh_contexts:solvability:bg3:pattern0:outcome_history:continue_x,solvability,mech_pair_test,3,0,rephrased,0.5,0.625
cf:outcome_history:fresh_contexts:solvability:bg3:pattern0:outcome_history:continue_y,solvability,mech_pair_test,3,0,rephrased,0.5,0.25
cf:outcome_history:fresh_contexts:solvability:bg3:pattern1:outcome_history:continue_x,solvability,mech_pair_test,3,1,rephrased,-0.875,-0.5
cf:outcome_history:fresh_contexts:solvability:bg3:pattern1:outcome_history:continue_y,solvability,mech_pair_test,3,1,rephrased,-1.25,-0.375
cf:outcome_history:fresh_contexts:waiting:bg0:pattern0:outcome_history:continue_x,waiting,mech_task_holdout,0,0,rephrased,0.5,0.125
cf:outcome_history:fresh_contexts:waiting:bg0:pattern0:outcome_history:continue_y,waiting,mech_task_holdout,0,0,rephrased,0.25,0.0
cf:outcome_history:fresh_contexts:waiting:bg0:pattern1:outcome_history:continue_x,waiting,mech_task_holdout,0,1,rephrased,-0.25,0.0
cf:outcome_history:fresh_contexts:waiting:bg0:pattern1:outcome_history:continue_y,waiting,mech_task_holdout,0,1,rephrased,-0.125,-0.125
cf:outcome_history:fresh_contexts:waiting:bg1:pattern0:outcome_history:continue_x,waiting,mech_task_holdout,1,0,rephrased,0.625,0.125
cf:outcome_history:fresh_contexts:waiting:bg1:pattern0:outcome_history:continue_y,waiting,mech_task_holdout,1,0,rephrased,0.5,0.0
cf:outcome_history:fresh_contexts:waiting:bg1:pattern1:outcome_history:continue_x,waiting,mech_task_holdout,1,1,rephrased,0.0,-0.125
cf:outcome_history:fresh_contexts:waiting:bg1:pattern1:outcome_history:continue_y,waiting,mech_task_holdout,1,1,rephrased,-0.125,0.0
cf:outcome_history:fresh_contexts:waiting:bg2:pattern0:outcome_history:continue_x,waiting,mech_task_holdout,2,0,rephrased,0.625,0.25
cf:outcome_history:fresh_contexts:waiting:bg2:pattern0:outcome_history:continue_y,waiting,mech_task_holdout,2,0,rephrased,0.5,0.25
cf:outcome_history:fresh_contexts:waiting:bg2:pattern1:outcome_history:continue_x,waiting,mech_task_holdout,2,1,rephrased,-0.375,-0.125
cf:outcome_history:fresh_contexts:waiting:bg2:pattern1:outcome_history:continue_y,waiting,mech_task_holdout,2,1,rephrased,-0.875,-0.25
cf:outcome_history:fresh_contexts:waiting:bg3:pattern0:outcome_history:continue_x,waiting,mech_task_holdout,3,0,rephrased,0.75,0.25
cf:outcome_history:fresh_contexts:waiting:bg3:pattern0:outcome_history:continue_y,waiting,mech_task_holdout,3,0,rephrased,0.375,0.0
cf:outcome_history:fresh_contexts:waiting:bg3:pattern1:outcome_history:continue_x,waiting,mech_task_holdout,3,1,rephrased,-0.25,-0.25
cf:outcome_history:fresh_contexts:waiting:bg3:pattern1:outcome_history:continue_y,waiting,mech_task_holdout,3,1,rephrased,-0.5,-0.125
